rank,feature,relative_importance,scaled_importance,percentage
1,gender_male,5726648320.0,1.0,0.5697499148611816
2,height,1877491072.0,0.3278516449915332,0.1867934468210244
3,weight,1387581696.0,0.24230258581689892,0.13805187763982232
4,age,537461376.0,0.09385269462469803,0.05347256477191418
5,is_experienced,322452320.0,0.05630733755272753,0.03208110077672632
6,has_athletic_background,199526560.0,0.03484176936501664,0.019851095129331156
