rank,feature,native_importance,permutation_importance
1,gender_male,0.4547645247355819,46824.74936313106
2,weight,0.30468588850220457,23213.21810393499
3,age,0.06688912679597592,6855.837681395738
4,is_experienced,0.033254957095464596,4391.464208791169
5,height,0.11371852668321725,3127.0128073064943
6,has_athletic_background,0.026686976187555913,1762.9052467100926
